"";"requested";"funded";"interestrate";"loanlength";"loanpurpose";"debt_income";"state";"homeownership";"monthlyincome";"FICOrange";"opencreditlines";"revolvingcredit";"inquiries";"emplength";"bal_income";"bal_yearincome";"fundedPerc";"FICOavg"
"81174";20000;20000;0,089;"36 months";"debt_consolidation";0,149;"SC";"MORTGAGE";6541,67;"735-739";14;14272;2;0;2,18170589467216;0,181808824556013;1;737
"99592";19200;19200;0,1212;"36 months";"debt_consolidation";0,2836;"TX";"MORTGAGE";4583,33;"715-719";12;11140;1;2;2,43054722221616;0,202545601851347;1;717
"80059";35000;35000;0,2198;"60 months";"debt_consolidation";0,2381;"CA";"MORTGAGE";11500;"690-694";14;21977;1;2;1,91104347826087;0,159253623188406;1;692
"15825";10000;9975;0,0999;"36 months";"debt_consolidation";0,143;"KS";"MORTGAGE";3833,33;"695-699";10;9346;0;5;2,4380890765992;0,2031740897166;0,9975;697
"33182";12000;12000;0,1171;"36 months";"credit_card";0,1878;"NJ";"RENT";3195;"695-699";11;14469;0;9;4,52863849765258;0,377386541471048;1;697
"62403";6000;6000;0,1531;"36 months";"other";0,2005;"CT";"OWN";4891,67;"670-674";17;10391;2;3;2,12422342471998;0,177018618726665;1;672
"48808";10000;10000;0,079;"36 months";"debt_consolidation";0,2609;"MA";"RENT";2916,67;"720-724";10;15957;0;11;5,4709651760398;0,455913764669983;1;722
"22090";33500;33450;0,1714;"60 months";"credit_card";0,147;"LA";"MORTGAGE";13863,42;"705-709";12;27874;0;11;2,01061498533551;0,167551248777959;0,998507462686567;707
"76404";14675;14675;0,1433;"36 months";"credit_card";0,2692;"CA";"RENT";3150;"685-689";9;7246;1;8;2,30031746031746;0,191693121693122;1;687
"15867";7000;7000;0,0691;"36 months";"credit_card";0,071;"CA";"RENT";5000;"715-719";8;7612;0;3;1,5224;0,126866666666667;1;717
"94971";2000;2000;0,1972;"36 months";"moving";0,1029;"FL";"RENT";3575;"670-674";10;12036;0;6;3,36671328671329;0,280559440559441;1;672
"36911";10625;10625;0,1427;"36 months";"debt_consolidation";0,1254;"CA";"MORTGAGE";4250;"665-669";14;10767;0;0;2,53341176470588;0,211117647058824;1;667
"41200";28000;27975;0,2167;"60 months";"debt_consolidation";0,1307;"CT";"MORTGAGE";14166,67;"670-674";12;10311;0;1;0,727835122862324;0,0606529269051937;0,999107142857143;672
"83869";35000;34950;0,089;"36 months";"debt_consolidation";0,2046;"CT";"RENT";9166,67;"735-739";19;21536;0;1;2,34938096386147;0,195781746988456;0,998571428571429;737
"53853";9600;9600;0,0762;"36 months";"debt_consolidation";0,0345;"DC";"RENT";11250;"725-729";13;4606;0;0;0,409422222222222;0,0341185185185185;1;727
"21399";25000;24975;0,1565;"60 months";"debt_consolidation";0,2199;"CA";"RENT";5416,67;"730-734";6;13929;0;9;2,57150610984239;0,214292175820199;0,999;732
"62127";10000;10000;0,1212;"36 months";"debt_consolidation";0,1772;"CA";"RENT";9000;"695-699";18;20317;0;7;2,25744444444444;0,18812037037037;1;697
"23446";14000;13900,25;0,1037;"60 months";"debt_consolidation";0,1195;"OH";"RENT";4333,33;"740-744";6;7419;0;9;1,71207824006018;0,142673186671682;0,992875;742
"44987";10000;10000;0,0976;"36 months";"credit_card";0,0713;"FL";"RENT";2733,33;"730-734";7;6112;2;3;2,23610028792718;0,186341690660598;1;732
"17977";5200;5175;0,0999;"60 months";"debt_consolidation";0,1029;"AL";"MORTGAGE";3750;"760-764";10;16094;0;0;4,29173333333333;0,357644444444444;0,995192307692308;762
"86099";22000;21975;0,2198;"36 months";"debt_consolidation";0,1119;"TX";"MORTGAGE";6666,67;"665-669";9;23124;0;11;3,46859826570087;0,289049855475072;0,998863636363636;667
"99483";30000;30000;0,1905;"60 months";"credit_card";0,2125;"FL";"MORTGAGE";6250;"695-699";12;34927;0;6;5,58832;0,465693333333333;1;697
"28798";6500;6500;0,1799;"60 months";"car";0,1963;"FL";"RENT";4100;"665-669";11;11697;1;2;2,85292682926829;0,237743902439024;1;667
"24168";17400;17400;0,1199;"36 months";"credit_card";0,1247;"AZ";"RENT";6833,33;"695-699";7;26587;0;7;3,89078238574751;0,324231865478959;1;697
